,duration,duration,duration,duration,duration,duration,duration,up_flow,up_flow,up_flow,up_flow,up_flow,up_flow,up_flow,down_flow,down_flow,down_flow,down_flow,down_flow,down_flow,down_flow
407,174.6875,59.5,1318,10,68890.9011075949,262.4707623862035,59.5,12958.5875,4100.5,112198,0,624771368.9289558,24995.42696032528,4100.5,4429.7125,1032.5,43361,12,91206539.92895569,9550.211512262737,1032.5
409,60.06756002233389,31.0,1276,10,6986.178114657709,83.5833602737872,31.0,229501.96091568956,18010.0,5765719,0,455738189061.0078,675083.8385423012,18010.0,19256.802345058626,16868.0,144616,0,238930616.08604994,15457.380634701662,16868.0
428,199.4102564102564,100.0,1065,10,61619.143049932514,248.23203469724152,100.0,7628.717948717948,1357.0,185268,0,893829098.2604588,29896.97473425127,1357.0,1186.7948717948718,837.0,4455,160,1072339.6410256408,1035.5383339237812,837.0
440,183.95183044315993,90.0,1742,10,55601.794972511736,235.80032860984682,90.0,1335851.5260115606,326973.0,21331471,0,6070176507598.463,2463772.819802683,326973.0,137859.9190751445,12829.0,55501342,0,5984742193556.792,2446373.2735534846,12829.0
448,830.8,421.0,2654,44,697040.6947368421,834.8896302726739,421.0,546724.6,3610.0,9356773,376,4342126359706.2534,2083776.9457660897,3610.0,15189.0,10185.5,42509,3474,127197086.73684211,11278.168589662158,10185.5
449,108.24299065420561,73.0,567,10,11998.522837962353,109.53776900212252,73.0,791782.2943925234,72377.0,12186860,168,4295307422467.918,2072512.3455525949,72377.0,31380.5,12828.5,339988,0,2364199454.223004,48623.03419391887,12828.5
454,484.8301886792453,167.0,10404,10,954328.3217383532,976.897293341707,167.0,181546.45754716982,42234.5,6658684,0,619157107931.5386,786865.3683645879,42234.5,13106.259433962265,3233.5,588825,3,2530679384.600623,50305.858352687144,3233.5
461,118.8641975308642,54.5,1585,10,43374.79883805375,208.2661730527878,54.5,40341.583333333336,7039.5,9267852,0,264971066531.71158,514753.40361352795,7039.5,5836.62962962963,4462.5,66993,0,38075586.283453725,6170.541814415791,4462.5
462,490.48706896551727,268.5,3963,10,310959.09939916414,557.6370678130751,268.5,7317.318965517241,1254.0,751338,0,2795929374.053666,52876.548431735464,1254.0,12833.370689655172,9002.5,109232,37,160265927.1174056,12659.617968856943,9002.5
464,357.53250473369906,83.0,41435,10,814184.2665252787,902.3215981706737,83.0,4404168.501505073,773254.0,958631597,0,171517591420262.12,13096472.480033016,773254.0,153096.25710054862,63425.5,7962607,0,79772050743.41855,282439.4638562723,63425.5
465,98.13046231792273,59.0,11242,10,51056.762828484374,225.95743587783159,59.0,261061.21184293856,115367.0,9105266,0,481925853215.0563,694208.7965555149,115367.0,30137.122229259025,14879.5,1140195,0,3507977905.314155,59228.18505841754,14879.5
468,641.6666666666666,676.0,1493,73,194623.33333333337,441.1613461459802,676.0,772.4166666666666,868.0,879,157,49329.174242424226,222.10172048506115,868.0,699.3333333333334,700.0,700,698,0.9696969696969713,0.9847319278346627,700.0
475,162.24710552431358,63.0,5044,10,75061.66856789323,273.973846503445,63.0,4552025.6344690705,1469302.0,73311804,0,60905867724412.48,7804221.147841242,1469302.0,94137.9315249752,42363.0,1263606,0,21822774321.129333,147725.33405319933,42363.0
482,35.72727272727273,32.0,94,10,682.8181818181818,26.130789919521792,32.0,935.3636363636364,747.0,1577,537,159885.05454545456,399.8562923669635,747.0,2157.7272727272725,1985.0,2782,1618,190349.21818181814,436.29029118445686,1985.0
494,113.32534246575342,58.0,1456,10,22915.615438026638,151.37904557113126,58.0,686654.3698630137,169098.0,13581728,0,2152893907899.238,1467274.3124239715,169098.0,62188.020547945205,44868.0,406157,12,3839100539.11985,61960.47562051029,44868.0
506,72.27722772277228,49.0,721,10,5105.323075550804,71.45154354911308,49.0,132566.89828982897,65882.0,4251103,0,135297358082.00484,367827.8919304582,65882.0,14779.14401440144,10728.0,106606,0,165405369.9900519,12861.001904597164,10728.0
509,484.3225655976676,107.0,25660,10,1290862.9155334213,1136.1614830354977,107.0,29090863.960816327,645570.0,3302963159,0,1.188521529625821e+16,109019334.50658287,645570.0,80522.37854227405,33663.0,6569150,0,34746451036.68048,186403.99951900303,33663.0
521,75.41025641025641,35.0,557,10,9450.433687002651,97.21334109577064,35.0,14147048.615384616,2095236.0,197814457,0,987026617298307.8,31416979.760923993,2095236.0,23723.034188034188,13512.0,215650,0,1056648230.3436486,32506.126043311415,13512.0
534,376.91564291564293,174.0,6648,10,252853.54451739378,502.8454479433952,174.0,103475.06224406224,93942.0,9124397,0,139971364136.87662,374127.47043872176,93942.0,13802.535626535626,17453.0,76703,0,98910944.0554921,9945.398134589288,17453.0
536,130.625,59.0,684,10,29314.418478260865,171.21453933080818,59.0,155964.70833333334,18864.5,2611697,398,278425789795.5199,527660.6767568717,18864.5,13154.583333333334,11433.0,51945,319,161907071.38405797,12724.270956878354,11433.0
557,218.87878787878788,103.0,1615,10,77201.14742014742,277.8509446090609,103.0,620241.3535353536,123716.0,22366276,0,3556280736611.2437,1885810.3660260339,123716.0,16926.52525252525,9857.0,160456,0,434376851.2231776,20841.70941221419,9857.0
559,38.717277486910994,22.0,402,10,1974.067015706805,44.430473953209244,22.0,43965.26178010471,2347.0,2715861,0,81373484743.04689,285260.3806052409,2347.0,4424.2722513089,3395.0,26604,8,13519786.778120693,3676.9262677025076,3395.0
560,39.36363636363637,27.0,518,10,4640.655502392343,68.12235684701714,27.0,1036.1038961038962,218.0,8066,0,5121229.83116883,2263.013440342065,218.0,2666.883116883117,1410.0,14092,0,10306210.236158581,3210.3286803937353,1410.0
572,105.19642857142857,59.0,1885,10,29646.24823830877,172.18085909388643,59.0,192731.95089285713,115525.5,2034803,0,59044999585.28452,242991.768554584,115525.5,29174.410714285714,19851.5,324173,0,1142936107.2834716,33807.33806858315,19851.5
573,246.01694915254237,121.5,1577,10,91559.26466753587,302.5876148614412,121.5,2531159.3305084747,623175.0,21443984,0,17814298785693.88,4220698.850391233,623175.0,33605.93220338983,15159.0,256428,246,2204875324.696219,46956.099973232645,15159.0
583,332.80579964850614,138.5,17742,10,500455.10473326454,707.4285156348056,138.5,2584289.7644991213,592980.5,105902944,0,27483620377590.645,5242482.272510861,592980.5,21842.00878734622,9714.5,966840,0,4094367555.0271893,63987.24525268446,9714.5
586,384.0,384.0,384,384,,,384.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0,0,,,0.0
592,99.8567415730337,55.0,1910,10,18577.701865187508,136.30004352599272,55.0,375269.36853932583,100666.5,14163015,0,832046264439.4714,912165.7001003006,100666.5,12824.647191011236,6061.5,457275,3,639390695.5231447,25286.175976670427,6061.5
598,200.7185628742515,44.0,7910,10,286783.72300405864,535.5219164553946,44.0,1829621.0931470392,90499.0,291436783,0,103795167389079.05,10187991.332401056,90499.0,89245.0499001996,14477.0,5143565,8,127183171877.04865,356627.49736531626,14477.0
608,242.62416481069042,112.0,4524,10,145640.96229038868,381.6293519770049,112.0,1672711.1386414254,839381.0,25042003,0,6425262708921.736,2534810.1918924297,839381.0,73691.43708240535,34803.0,3584869,0,29616845768.620552,172095.45539792895,34803.0
617,416.1186236946886,199.0,38856,10,551777.7057620689,742.8174107828039,199.0,246016.1951017955,1846.0,202176216,0,25696275278025.906,5069149.364343677,1846.0,9596.847569679212,3390.0,2076517,0,752027259.169929,27423.115416923894,3390.0
621,204.0,286.0,298,28,23268.0,152.53851972534676,286.0,1264.3333333333333,1321.0,1337,1135,12609.333333333327,112.29128787814898,1321.0,10500.333333333334,11020.0,12129,8352,3768972.333333333,1941.3841282274184,11020.0
626,37.736666666666665,25.0,305,10,1720.094303232999,41.474019617502705,25.0,49005.69,317.0,7213967,0,208576081150.74973,456701.3040826025,317.0,2676.1033333333335,1220.5,183090,0,178600382.89564106,13364.145423319856,1220.5
634,641.7009132420092,279.5,5861,10,722988.2558801712,850.2871608346037,279.5,147388.00456621006,85069.5,948786,0,29402991894.89703,171473.00631556276,85069.5,19156.9497716895,8025.5,808842,0,2939475951.256052,54216.934174260095,8025.5
637,69.30685920577618,57.0,368,10,2875.496075969237,53.62365220655189,57.0,7599.227436823105,3324.0,104251,0,390132488.5966358,19751.771783732107,3324.0,3087.263537906137,3110.0,14982,388,4327961.129571498,2080.3752376846583,3110.0
640,185.2941176470588,73.5,1062,11,72314.51693404635,268.9135863693881,73.5,152368.9705882353,21096.5,2631356,0,215994397211.18094,464751.97386474966,21096.5,18509.617647058825,10214.0,186317,4,1098260245.637255,33140.009741055525,10214.0
648,98.07070707070707,59.0,568,10,13026.311276025559,114.13286676512405,59.0,882380.7171717172,132874.0,2042990,0,836602738473.4498,914659.9031735511,132874.0,6439.222222222223,5092.0,93696,0,96405015.25623576,9818.605565773369,5092.0
659,108.17391304347827,96.0,352,21,5953.422924901187,77.15842743927061,96.0,5357710.391304348,3949460.0,25844564,4687,40771970146111.97,6385293.270172637,3949460.0,32133.739130434784,30119.0,116834,4355,608453013.0197629,24666.84035339271,30119.0
665,281.32477535301666,142.0,4019,10,170691.26327999448,413.1479919834955,142.0,2812926.245186136,582111.0,89217031,0,57287850384931.16,7568873.785770982,582111.0,163757.0346598203,66003.0,4199351,0,90261008966.11327,300434.7000033672,66003.0
677,71.25165562913908,44.0,575,11,6880.64291390729,82.94964083048998,44.0,240215.62913907284,16845.0,4043775,0,696301327471.6752,834446.7193725883,16845.0,15707.84105960265,7559.0,172318,0,500148395.3345695,22363.997749386614,7559.0
678,60.28943533697632,30.0,4763,10,22238.847711286126,149.12695165960486,30.0,96793.9927140255,34682.5,14471829,0,198987210774.50793,446079.82556321454,34682.5,2650.556466302368,2480.0,20286,0,3322931.5505548283,1822.8909870189243,2480.0
683,84.53177257525084,52.0,929,10,9468.540864859415,97.30642766466876,52.0,223377.32775919733,54171.0,4346464,0,251420197274.2036,501418.1860226089,54171.0,18658.17558528428,14043.5,118740,0,299076474.1282474,17293.82763092796,14043.5
697,254.66306695464363,120.0,2335,10,110307.82129533532,332.126212900059,120.0,1340487.3671706263,391789.0,41388487,0,9111762036373.736,3018569.5347918915,391789.0,24281.557235421165,14654.0,186317,0,841274843.160678,29004.73828809145,14654.0
711,102.9090909090909,51.0,337,10,11828.49090909091,108.75886588729634,51.0,628.5454545454545,109.0,2400,109,719379.6727272727,848.1625273066907,109.0,2929.5454545454545,2034.0,15955,0,21024029.07272727,4585.196732172707,2034.0
717,106.46666666666667,24.5,4273,10,300425.23615819204,548.1106057705799,24.5,174648.38333333333,1790.0,5573624,14,608026877732.9183,779760.7823768251,1790.0,4583.183333333333,3405.0,34306,0,39487824.79632768,6283.933863140802,3405.0
720,170.80374707259952,81.0,11296,10,108284.95068885821,329.0667875809684,81.0,72913.08571428571,14346.0,11598961,0,405633317710.12805,636893.4900830186,14346.0,5654.03700234192,2790.0,131663,0,81932609.29994245,9051.663344377233,2790.0
733,101.0,101.0,101,101,,,101.0,167861.0,167861.0,167861,167861,,,167861.0,11923.0,11923.0,11923,11923,,,11923.0
736,309.0,309.0,319,299,200.0,14.142135623730951,309.0,5007788.0,5007788.0,5099832,4915744,16944195872.0,130169.87313506917,5007788.0,400249.5,400249.5,406764,393735,84877420.5,9212.894252079528,400249.5
737,196.73333333333332,92.0,2309,11,142396.83636363636,377.3550534491838,92.0,2478574.0888888887,16850.0,108262214,179,260134515651901.0,16128686.110526828,16850.0,27448.044444444444,11302.0,211038,481,1936791693.225252,44008.995594369706,11302.0
747,351.64864864864865,192.5,1685,10,175311.1899296557,418.70179117082324,192.5,139558.06756756757,72708.5,848661,0,32267761221.269344,179632.2944831172,72708.5,57174.06756756757,18923.0,378952,690,5351229734.885779,73152.10000325198,18923.0
749,155.8095238095238,99.0,518,10,23046.661904761906,151.81127067764734,99.0,742189.0952380953,363258.0,5027419,1974,1156976556408.3904,1075628.4471918687,363258.0,72509.61904761905,66148.0,268634,0,3253957019.2476196,57043.466052192336,66148.0
753,105.78571428571429,51.0,574,10,21203.507936507936,145.6142435907557,51.0,2246546.964285714,1078634.5,12331858,259,9769798796993.887,3125667.736179565,1078634.5,699122.0714285715,223810.0,6002757,343,1534194606282.2913,1238626.0962382033,223810.0
763,71.0,76.0,117,15,1938.0,44.02272140611028,76.0,4621832.0,2584592.0,13311906,6238,39195723910701.336,6260648.841030883,2584592.0,32728.0,30246.5,61410,9009,766315703.3333334,27682.407831208133,30246.5
776,57.33382946676055,23.0,45027,10,144088.52706613066,379.5899459497454,23.0,255230.86337911428,3593.0,239090293,0,6372436268967.865,2524368.48914097,3593.0,15940.878245291931,1666.0,317599532,0,1057840761621.7852,1028513.8606853022,1666.0
799,14.2,14.0,20,10,14.2,3.7682887362833544,14.0,349.8,318.0,482,196,12603.2,112.26397463122353,318.0,594.2,452.0,1105,285,101766.7,319.00893404417377,452.0
800,55.0,55.0,64,46,162.0,12.727922061357855,55.0,24545.0,24545.0,34059,15031,181032392.0,13454.827832417626,24545.0,3388.0,3388.0,5207,1569,6617522.0,2572.45446995666,3388.0
814,56.5591798695247,15.0,2123,10,27078.032175446195,164.55404028903754,15.0,6455.679403541472,168.0,3069507,0,13402398421.535196,115768.72816756344,168.0,1168.0559179869524,1079.0,5263,0,337497.215153844,580.9451051122162,1079.0
819,102.48511383537654,71.0,1121,10,11859.369514855429,108.90073238897628,71.0,106217.37478108582,18268.0,14340105,0,404677564885.63434,636142.7236757757,18268.0,46869.033274956215,19704.0,2187957,0,20925183380.55855,144655.39526944218,19704.0
823,123.90754571207829,51.0,24005,10,202399.57748812728,449.8884055942399,51.0,106980.85140355396,406.0,23796716,0,1466646360685.9277,1211051.7580541007,406.0,16806.47617821272,671.0,4993411,0,27910144727.683292,167063.2955729154,671.0
